outcome_name,model_name,target_fraction,selected_population_fraction,selected_rows,treatment_rows,control_rows,treatment_rate,control_rate,cumulative_uplift,cumulative_gain,uplift_ci_lower,uplift_ci_upper,random_gain,gain_above_random,endpoint_gain,gain_above_response,incremental_gain_ci_lower,incremental_gain_ci_upper,gain_above_response_ci_lower,gain_above_response_ci_upper,analysis_status
visit,constant_ate,0.05,0.050000196727245545,139788.0,118998.0,20790.0,0.0488747710045547,0.03727753727753728,0.011597233727017424,1621.1541082323117,0.008745599787919221,0.014448867666115627,1444.6658759020584,176.48823233025337,28893.317518041164,-6308.0632368113,,,,,exploratory_completion_requested_after_initial_test_review
visit,constant_ate,0.1,0.1000000357685901,279575.0,237900.0,41675.0,0.048743169398907105,0.03839232153569286,0.010350847863214246,2893.838291358123,0.008313271697730773,0.01238842402869772,2889.3317518041167,4.506539554006395,28893.317518041164,-11219.867993888656,2295.404059913859,3475.1163590210717,-12652.03363454414,-9614.257075716821,exploratory_completion_requested_after_initial_test_review
visit,constant_ate,0.2,0.2000000715371802,559150.0,475583.0,83567.0,0.04887474951796006,0.038651620855122235,0.010223128662837824,5716.26239182577,0.008779670605021779,0.01166658672065387,5778.663503608233,-62.401111782463886,28893.317518041164,-15926.107669659981,4986.082502313102,6517.9976851147385,-17343.24871305421,-14289.783463220934,exploratory_completion_requested_after_initial_test_review
visit,constant_ate,0.3,0.3000001073057703,838725.0,713337.0,125388.0,0.04878199224209595,0.038313076211439694,0.010468916030656257,8780.54159781217,0.009294737285599153,0.011643094775713361,8667.995255412348,112.54634239982079,28893.317518041164,-15464.125661552176,7962.92505180875,9749.32916620927,-17148.759780454417,-13857.655221632529,exploratory_completion_requested_after_initial_test_review
visit,constant_ate,0.4,0.4000001430743604,1118300.0,951091.0,167209.0,0.04868724443822936,0.03837712084875814,0.01031012358947122,11529.811210105665,0.009292816715006239,0.0113274304639362,11557.327007216467,-27.51579711080194,28893.317518041164,-14640.724592842696,,,,,exploratory_completion_requested_after_initial_test_review
visit,constant_ate,0.5,0.5000001788429504,1397875.0,1188735.0,209140.0,0.04869882690423013,0.038074973701826526,0.010623853202403603,14850.818795309937,0.00971696977502474,0.011530736629782467,14446.658759020582,404.16003628935505,28893.317518041164,-12776.83582286966,,,,,exploratory_completion_requested_after_initial_test_review
visit,constant_ate,0.75,0.7500000894214752,2096812.0,1782679.0,314133.0,0.04857969382036811,0.03830224777403202,0.01027744604633609,21549.87219931007,0.009535794673021654,0.011019097419650526,21669.988138530873,-120.11593922080283,28893.317518041164,-7176.79063290004,,,,,exploratory_completion_requested_after_initial_test_review
visit,constant_ate,1.0,1.0,2795749.0,2376531.0,419218.0,0.048632229076750945,0.03829749676779146,0.010334732308959482,28893.317518041164,0.009692640491515359,0.010976824126403606,28893.317518041164,0.0,28893.317518041164,0.0,,,,,exploratory_completion_requested_after_initial_test_review
visit,segment_uplift,0.05,0.050000196727245545,139788.0,120486.0,19302.0,0.1384891190677755,0.08869547197181639,0.04979364709595911,6960.5543402499325,0.045333786103861455,0.05425350808805677,1444.6658759020584,5515.888464347874,28893.317518041164,-968.6630047936796,,,,,exploratory_completion_requested_after_initial_test_review
visit,segment_uplift,0.1,0.1000000357685901,279575.0,240937.0,38638.0,0.13811494291038737,0.08649516020497955,0.05161978270540782,14431.60074986439,0.04849670272386813,0.05474286268694751,2889.3317518041167,11542.268998060274,28893.317518041164,317.89446461761145,13665.133850338365,15275.345042038496,-1207.406593259325,1505.3528301812487,exploratory_completion_requested_after_initial_test_review
