outcome_name,model_name,score_group,population_start_pct,population_end_pct,group_rows,treatment_rows,control_rows,treatment_rate,control_rate,observed_uplift,mean_predicted_score,incremental_outcomes,uplift_ci_lower,uplift_ci_upper
conversion,constant_ate,10,90.0,100.0,279574,237259,42315,0.0031231691948461386,0.0020796407893182087,0.00104352840552793,0.0011450700694695115,291.7434104470655,0.0005548449556509275,0.0015322118554049326
conversion,segment_uplift,1,0.0,10.0,279575,239684,39891,0.020802389813254118,0.01346168308641047,0.007340706726843648,0.00668131560087204,2052.278083157313,0.0060736778574757505,0.008607735596211547
conversion,segment_uplift,2,10.0,20.0,279575,238427,41148,0.007104900032295,0.004423058228832507,0.0026818418034624926,0.0025013956620134658,749.7759222030264,0.001957441265313196,0.003406242341611789
conversion,segment_uplift,3,20.0,30.0,279575,237328,42247,0.001525315175621924,0.001230856628873056,0.000294458546748868,0.0006474364027667636,82.32324820731478,-7.491090277964149e-05,0.0006638279962773775
conversion,segment_uplift,4,30.0,40.0,279575,236768,42807,0.0005955196648195702,0.00039713131029971735,0.0001983883545198529,0.00022737158749060887,55.46442421488788,-1.4403382092841922e-05,0.0004111800911325477
conversion,segment_uplift,5,40.0,50.0,279575,236945,42630,0.0002954272088459347,0.0001172882946281961,0.00017813891421773862,0.0001028726927154888,49.803186942424276,5.42196519084496e-05,0.0003020581765270276
conversion,segment_uplift,6,50.0,60.0,279575,237632,41943,0.00011782924858604902,0.00014305128388527287,-2.5222035299223854e-05,3.660872971522622e-05,-7.051450518780509,-0.00014771449834086875,9.727042774242105e-05
conversion,segment_uplift,7,60.0,70.0,279575,237574,42001,7.997508144830663e-05,2.3808956929596913e-05,5.616612451870972e-05,3.660872971522622e-05,15.70264426231827,-2.7456560503370635e-06,0.0001150779050877565
conversion,segment_uplift,8,70.0,80.0,279575,237324,42251,7.163203047310849e-05,7.10042365861163e-05,6.277938869921892e-07,3.660872971522622e-05,0.1755154759558413,-8.66340894285893e-05,8.788967720257368e-05
conversion,segment_uplift,9,80.0,90.0,279575,237877,41698,0.00015554257031995527,4.7963931123794903e-05,0.00010757863919616036,3.660872971522622e-05,30.076298053266534,2.4332284139221236e-05,0.00019082499425309948
conversion,segment_uplift,10,90.0,100.0,279574,236972,42602,9.705788025589521e-05,4.694615276278109e-05,5.011172749311412e-05,3.660872971522622e-05,14.009936102159887,-2.6086632344854106e-05,0.00012631008733108234
